Node1,Node2,Weight,Open,Bicycle,Motorcycle,Car,Truck
Rua do Campo, Rua da Esperanca, 150, True, True, True, True, True
Rua do Campo, Rua Nova, 240, True, True, True, True, True
Rua do Campo, Largo do Mercado, 330, True, True, True, True, True
Avenida Velha, Rua do Comércio, 280, True, True, True, True, True
Avenida Velha, Avenida Nova, 20, True, True, True, True, True
Avenida Velha, Largo do Mercado, 30, True, True, True, True, True
Rua da Alegria, Avenida Larga, 502, True, True, True, True, True
Rua da Alegria, Rua da Felicidade, 260, True, True, True, True, True
Rua da Alegria, Praça da Liberdade, 404, True, True, True, True, True
Rua das Flores, Avenida Larga, 490, True, True, True, True, True
Rua das Flores, Rua da Felicidade, 180, True, True, True, True, True
Rua das Flores, Praça da Liberdade, 50, True, True, True, True, True
Travessa da Paz, Avenida Larga, 150, True, True, True, True, True
Travessa da Paz, Rua da Felicidade, 120, True, True, True, True, True
Travessa da Paz, Praça da Liberdade, 50, True, True, True, True, True
Avenida da Paz, Avenida Larga, 120, True, True, True, True, True
Avenida da Paz, Rua da Felicidade, 550, True, True, True, True, True
Avenida da Paz, Praça da Liberdade, 210, True, True, True, True, True
Rua do Amor, Avenida Larga, 40, True, True, True, True, True
Rua do Amor, Rua da Felicidade, 205, True, True, True, True, True
Rua do Amor, Praça da Liberdade, 680, True, True, True, True, True
Rua da Serenidade, Rua do Porto, 140, True, True, True, True, True
Rua da Serenidade, Avenida da Paz, 480, True, True, True, True, True
Rua da Serenidade, Travessa do Bairro, 600, False, True, True, True, True
Avenida do Progresso, Rua do Porto, 100, True, True, True, True, True
Avenida do Progresso, Avenida da Paz, 120, True, True, True, True, True
Avenida do Progresso, Travessa do Bairro, 280, False, True, True, True, True
Travessa da Harmonia, Rua do Porto, 150, True, True, True, True, True
Travessa da Harmonia, Avenida da Paz, 140, True, True, True, True, True
Travessa da Harmonia, Travessa do Bairro, 370, False, True, True, True, True
Rua da União, Rua do Porto, 120, True, True, True, True, True
Rua da União, Avenida da Paz, 140, True, True, True, True, True
Rua da União, Travessa do Bairro, 907, True, True, True, True, True
Avenida da Prosperidade, Rua do Porto, 290, True, True, True, True, True
Avenida da Prosperidade, Avenida da Paz, 470, True, True, True, True, True
Avenida da Prosperidade, Travessa do Bairro, 120, True, True, True, True, True
